2022-03-10 00:00:00/Water level in 5 minutes_1.690,Rainfall in 5 minutes_0.00
2022-03-10 00:00:02/Daily water level_1.690,Hourly water level_1.690,Water level in 5 minutes_1.690,Current water level_1.690,Daily rainfall_0.00,Hourly rainfall_0.00,Rainfall in 5 minutes_0.00,Rain count_0.0,CSQ_17.0,Temperature_12.380,Voltage_12.00
2022-03-10 00:05:00/Water level in 5 minutes_1.690,Rainfall in 5 minutes_0.00
2022-03-10 00:10:00/Water level in 5 minutes_1.690,Rainfall in 5 minutes_0.00
2022-03-10 00:15:00/Water level in 5 minutes_1.690,Rainfall in 5 minutes_0.00
2022-03-10 00:15:02/Daily water level_1.690,Hourly water level_1.690,Water level in 5 minutes_1.690,Current water level_1.690,Daily rainfall_0.00,Hourly rainfall_0.00,Rainfall in 5 minutes_0.00,Rain count_0.0,CSQ_18.0,Temperature_12.190,Voltage_12.00
2022-03-10 00:20:00/Water level in 5 minutes_1.690,Rainfall in 5 minutes_0.00
2022-03-10 00:25:00/Water level in 5 minutes_1.690,Rainfall in 5 minutes_0.00
2022-03-10 00:30:00/Water level in 5 minutes_1.690,Rainfall in 5 minutes_0.00
2022-03-10 00:30:02/Daily water level_1.690,Hourly water level_1.690,Water level in 5 minutes_1.690,Current water level_1.690,Daily rainfall_0.00,Hourly rainfall_0.00,Rainfall in 5 minutes_0.00,Rain count_0.0,CSQ_17.0,Temperature_12.000,Voltage_12.00
2022-03-10 00:35:00/Water level in 5 minutes_1.690,Rainfall in 5 minutes_0.00
2022-03-10 00:40:00/Water level in 5 minutes_1.690,Rainfall in 5 minutes_0.00
2022-03-10 00:45:00/Water level in 5 minutes_1.690,Rainfall in 5 minutes_0.00
2022-03-10 00:45:02/Daily water level_1.690,Hourly water level_1.690,Water level in 5 minutes_1.690,Current water level_1.690,Daily rainfall_0.00,Hourly rainfall_0.00,Rainfall in 5 minutes_0.00,Rain count_0.0,CSQ_17.0,Temperature_11.810,Voltage_12.00
