2022-03-09 00:00:00/Daily water level_3.280,Hourly water level_3.280,Water level in 5 minutes_35.2820,Current water level_3.280,Daily rainfall_0.00,Hourly rainfall_0.00,Rainfall in 5 minutes_0.00,Rain count_0.0,CSQ_23.0,Temperature_9.000,Voltage_12.90
2022-03-09 00:05:00/Water level in 5 minutes_35.2820,Rainfall in 5 minutes_0.00
2022-03-09 00:10:00/Water level in 5 minutes_35.2820,Rainfall in 5 minutes_0.00
2022-03-09 00:15:00/Daily water level_3.280,Hourly water level_3.280,Water level in 5 minutes_35.2820,Current water level_3.280,Daily rainfall_0.00,Hourly rainfall_0.00,Rainfall in 5 minutes_0.00,Rain count_0.0,CSQ_23.0,Temperature_9.000,Voltage_12.90
2022-03-09 00:20:00/Water level in 5 minutes_35.2820,Rainfall in 5 minutes_0.00
2022-03-09 00:25:00/Water level in 5 minutes_35.2820,Rainfall in 5 minutes_0.00
2022-03-09 00:30:00/Daily water level_3.280,Hourly water level_3.280,Water level in 5 minutes_35.2820,Current water level_3.280,Daily rainfall_0.00,Hourly rainfall_0.00,Rainfall in 5 minutes_0.00,Rain count_0.0,CSQ_23.0,Temperature_9.000,Voltage_12.90
2022-03-09 00:35:00/Water level in 5 minutes_35.2820,Rainfall in 5 minutes_0.00
2022-03-09 00:40:00/Water level in 5 minutes_35.2820,Rainfall in 5 minutes_0.00
2022-03-09 00:45:00/Daily water level_3.280,Hourly water level_3.280,Water level in 5 minutes_35.2820,Current water level_3.280,Daily rainfall_0.00,Hourly rainfall_0.00,Rainfall in 5 minutes_0.00,Rain count_0.0,CSQ_22.0,Temperature_9.000,Voltage_12.90
2022-03-09 00:50:00/Water level in 5 minutes_35.2820,Rainfall in 5 minutes_0.00
2022-03-09 00:55:00/Water level in 5 minutes_35.2820,Rainfall in 5 minutes_0.00
2022-03-09 01:00:00/Daily water level_3.280,Hourly water level_3.280,Water level in 5 minutes_35.2820,Current water level_3.280,Daily rainfall_0.00,Hourly rainfall_0.00,Rainfall in 5 minutes_0.00,Rain count_0.0,CSQ_22.0,Temperature_9.000,Voltage_12.90
2022-03-09 01:05:00/Water level in 5 minutes_35.2820,Rainfall in 5 minutes_0.00
2022-03-09 01:10:00/Water level in 5 minutes_35.2820,Rainfall in 5 minutes_0.00
2022-03-09 01:15:00/Daily water level_3.280,Hourly water level_3.280,Water level in 5 minutes_35.2820,Current water level_3.280,Daily rainfall_0.00,Hourly rainfall_0.00,Rainfall in 5 minutes_0.00,Rain count_0.0,CSQ_23.0,Temperature_9.000,Voltage_12.90
